Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
290	3916.2097952365875	1000	292000	-9.40610293086873	-3006.1175159424397	546	292000
291	3929.6367712020874	1000	293000	-9.40610293086873	-3005.463542893287	547	293000
292	3943.0613651275635	1000	294000	-9.40610293086873	-3001.992378507078	548	294000
293	3956.5867331027985	1000	295000	-9.40610293086873	-3005.2646579946986	549	295000
294	3970.0465960502625	1000	296000	-9.40610293086873	-3006.2965192589745	550	296000
295	3983.531306028366	1000	297000	-9.40610293086873	-3002.1151200408426	551	297000
296	3996.957686185837	1000	298000	-9.40610293086873	-3003.9066010396846	552	298000
297	4010.402535200119	1000	299000	-9.40610293086873	-3004.451000184089	553	299000
298	4023.8724579811096	1000	300000	-9.40610293086873	-3005.9809531838864	554	300000
299	4037.3046820163727	1000	301000	-9.40610293086873	-3003.87538216285	555	301000
300	4050.7382090091705	1000	302000	-9.40610293086873	-3005.640796212988	556	302000
301	4064.18479013443	1000	303000	-9.40610293086873	-3003.035101402429	557	303000
302	4077.672287940979	1000	304000	-9.40610293086873	-3003.831653491957	558	304000
303	4091.236027240753	1000	305000	-9.40610293086873	-3003.332686376022	559	305000
304	4104.703023195267	1000	306000	-9.40610293086873	-3002.1904853989754	560	306000
305	4118.16876912117	1000	307000	-9.40610293086873	-3004.5364569197714	561	307000
306	4131.671831130981	1000	308000	-9.40610293086873	-3003.921306816298	562	308000
307	4145.137966156006	1000	309000	-9.40610293086873	-3001.5929735577292	563	309000
308	4158.610964298248	1000	310000	-9.40610293086873	-3005.7094254608987	564	310000
309	4172.125205039978	1000	311000	-9.40610293086873	-3002.346084521631	565	311000
310	4185.635700941086	1000	312000	-9.40610293086873	-3001.8675570085966	566	312000
311	4199.157343387604	1000	313000	-9.40610293086873	-3003.553836772277	567	313000
312	4212.626372098923	1000	314000	-9.40610293086873	-3002.5698096713154	568	314000
313	4226.134917259216	1000	315000	-9.40610293086873	-3004.4241611391067	569	315000
314	4239.628262281418	1000	316000	-9.40610293086873	-3003.1509189577755	570	316000
315	4253.099934339523	1000	317000	-9.40610293086873	-3003.1657776659795	571	317000
316	4266.576905965805	1000	318000	-9.40610293086873	-3003.109352695364	572	318000
317	4280.052309036255	1000	319000	-9.40610293086873	-3003.0710928143644	573	319000
318	4293.515160083771	1000	320000	-9.40610293086873	-3003.2629044530863	574	320000
319	4306.989424228668	1000	321000	-9.40610293086873	-3004.501290342593	575	321000
320	4320.460841178894	1000	322000	-9.40610293086873	-3003.198908867968	576	322000
321	4334.275698184967	1000	323000	-9.40610293086873	-3003.2684675583114	577	323000
322	4347.870693206787	1000	324000	-9.40610293086873	-3004.3612200214757	578	324000
323	4361.3420531749725	1000	325000	-9.40610293086873	-3004.063015851975	579	325000
324	4374.897755146027	1000	326000	-9.40610293086873	-3004.089982054415	580	326000
325	4388.40295124054	1000	327000	-9.40610293086873	-3004.949183857997	581	327000
326	4402.034079313278	1000	328000	-9.40610293086873	-3004.6039304607166	582	328000
327	4415.7031972408295	1000	329000	-9.40610293086873	-3003.2110641580043	583	329000
328	4429.299738168716	1000	330000	-9.40610293086873	-3004.6167188508525	584	330000
329	4442.806150197983	1000	331000	-9.40610293086873	-3002.614504651341	585	331000
330	4456.325599193573	1000	332000	-9.40610293086873	-3002.908190948538	586	332000
331	4469.782642126083	1000	333000	-9.40610293086873	-3003.6345685611495	587	333000
332	4483.2483949661255	1000	334000	-9.40610293086873	-3003.268433750477	588	334000
333	4496.712223291397	1000	335000	-9.40610293086873	-3004.623207293616	589	335000
334	4510.1678330898285	1000	336000	-9.40610293086873	-3003.3788314071585	590	336000
335	4523.680000066757	1000	337000	-9.40610293086873	-3002.8431975959707	591	337000
336	4537.142609119415	1000	338000	-9.40610293086873	-3003.7046503427896	592	338000
337	4550.620487213135	1000	339000	-9.40610293086873	-3003.073577773117	593	339000
338	4564.105493068695	1000	340000	-9.40610293086873	-3004.6194187651595	594	340000
339	4577.785578012466	1000	341000	-9.40610293086873	-3002.76848207356	595	341000
340	4591.464034080505	1000	342000	-9.40610293086873	-3001.490871663955	596	342000
341	4605.127819061279	1000	343000	-9.40610293086873	-3002.3719711468566	597	343000
